Label,GroupId,YearsExperience,Education,FullName,SkillSet
0,1,7,Master,Miguel Ballsdon,C++;Python;Git;PostgreSQL
0,1,12,Undergraduate,Erena Maffy,Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL;TypeScript;Git;Express;React.js;Vue.js;AWS;PostgreSQL
0,1,15,Master,Helaina Dunbavin,C;C++;Java;Perl;Ruby;Git;Ruby on Rails
0,1,9,Undergraduate,Jermaine Cowins,Bash/Shell;HTML/CSS;JavaScript;PHP;Ruby;SQL;Git;jQuery;Laravel;Ruby on Rails;AWS;MySQL;PostgreSQL
0,1,40,PhD,Trumaine Jellings,C++;Python
0,1,9,Master,Dory Lewtey,JavaScript;Python;Docker;Git;MySQL
0,1,26,Master,Pembroke Linnane,C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript;Docker;Git;Kubernetes;Angular;Express;Spring;AWS;Heroku;DynamoDB;PostgreSQL
0,1,14,Master,Townsend Side,C++;Python;Docker;Git
0,1,39,Undergraduate,Carlie Dunphie,Python;Git;PostgreSQL
0,1,20,Master,Hoyt Gonsalo,Delphi;Java;SQL;Docker;Git;PostgreSQL
0,1,4,Undergraduate,Goldia Gaylor,Bash/Shell;Go;Java;Node.js;Python;Scala;SQL;Docker;Git;Kubernetes;Terraform;AWS;Google Cloud Platform;Microsoft Azure;DynamoDB;MongoDB;MySQL;PostgreSQL
0,1,6,Undergraduate,Jorge Felder,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;SQL;Git;Unity 3D;jQuery
0,1,19,Master,Myrle Martusov,C;C++;Java;Python;Git
0,1,8,Undergraduate,Henrietta Joseph,Assembly;C;Java;Kotlin;Rust;Docker;Git
0,1,6,Master,Ralph Luckcock,Bash/Shell;C#;C++;Python;Git
0,1,22,Undergraduate,Arluene Joder,C#;C++;JavaScript;PowerShell;SQL;TypeScript;Docker;Git;Kubernetes;ASP.NET Core ;React.js;Heroku;Microsoft Azure;Microsoft SQL Server;PostgreSQL;Redis
0,1,7,Other,Luis Patmore,C++;SQL;Git;MongoDB;MySQL
0,1,12,Undergraduate,Vale Turle,C#;HTML/CSS;JavaScript;Node.js;PowerShell;TypeScript;VBA;Docker;Kubernetes;Angular;ASP.NET;ASP.NET Core ;Express;Svelte;AWS;DigitalOcean;Microsoft Azure;Couchbase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite
0,1,34,Master,Nariko Fluger,Bash/Shell;HTML/CSS;Java;Python;SQL;TypeScript;Ansible;Git;Terraform;Yarn;React.js;Spring;MySQL;SQLite
0,1,21,Master,Dew Mixter,C;C#;HTML/CSS;Java;JavaScript;PHP;SQL;Docker;Git;Angular;ASP.NET Core ;jQuery;Spring;Microsoft SQL Server;MySQL;Oracle;SQLite
0,1,5,Other,Eleen McLeary,Bash/Shell;HTML/CSS;JavaScript;Python;SQL;Docker;Git;Django;FastAPI;Vue.js;Heroku;Oracle
1,1,25,Other,Pia Deem,C#;VBA;Git;ASP.NET;Microsoft SQL Server;MySQL
0,1,20,Master,Aggi Dreamer,Bash/Shell;JavaScript;Node.js;TypeScript;Terraform;AWS;DynamoDB
